timestamp,temperature,pressure,humidity,altitude,uv
0, 23.04, 97570, 49, 317.37, 0.29
205, 23.04, 97570, 49, 317.29, 0.29
217, 23.04, 97571, 49, 317.29, 0.29
225, 23.04, 97571, 49, 317.29, 0.29
233, 23.04, 97571, 49, 317.29, 0.29
242, 23.04, 97571, 49, 317.29, 0.29
250, 23.04, 97571, 49, 317.29, 0.29
259, 23.04, 97571, 49, 317.29, 0.29
268, 23.04, 97571, 49, 317.29, 0.29
276, 23.04, 97571, 49, 317.29, 0.29
284, 23.04, 97571, 49, 317.29, 0.29
293, 23.04, 97571, 49, 317.29, 0.29
302, 23.04, 97571, 49, 317.80, 0.29
315, 23.02, 97565, 49, 317.80, 0.24
323, 23.02, 97565, 49, 317.80, 0.24
331, 23.02, 97565, 49, 317.80, 0.24
341, 23.02, 97565, 49, 317.80, 0.24
349, 23.02, 97565, 49, 317.80, 0.24
357, 23.02, 97565, 49, 317.80, 0.24
366, 23.02, 97565, 49, 317.80, 0.24
374, 23.02, 97565, 49, 317.80, 0.24
383, 23.02, 97565, 49, 317.80, 0.24
392, 23.02, 97565, 49, 317.80, 0.24
400, 23.02, 97565, 49, 317.72, 0.24
408, 23.02, 97566, 49, 317.72, 0.24
417, 23.02, 97566, 49, 317.72, 0.24
426, 23.02, 97566, 49, 317.72, 0.24
440, 23.02, 97566, 49, 317.72, 0.24
448, 23.02, 97566, 49, 317.72, 0.24
456, 23.02, 97566, 49, 317.72, 0.24
465, 23.02, 97566, 49, 317.72, 0.24
474, 23.02, 97566, 49, 317.72, 0.24
482, 23.02, 97566, 49, 317.72, 0.24
491, 23.02, 97566, 49, 317.72, 0.24
499, 23.02, 97566, 49, 317.72, 0.24
507, 23.02, 97566, 49, 317.72, 0.24
517, 23.02, 97566, 49, 317.72, 0.24
525, 23.02, 97566, 49, 317.72, 0.24
533, 23.02, 97566, 49, 317.72, 0.24
541, 23.02, 97566, 49, 317.72, 0.24
